;Description;ICC;F;df1;df2;pval;CI95%;Stage;Bands;Roi
0;Average fixed raters;0.864924;7.403214;601;1803;0.0;[0.85 0.88];Preprocessed data;delta;F
1;Average fixed raters;0.957619;23.595292;601;1803;0.0;[0.95 0.96];Preprocessed data;theta;F
2;Average fixed raters;0.926161;13.543008;601;1803;0.0;[0.92 0.94];Preprocessed data;alpha-1;F
3;Average fixed raters;0.907231;10.779427;601;1803;0.0;[0.89 0.92];Preprocessed data;alpha-2;F
4;Average fixed raters;0.940163;16.711999;601;1803;0.0;[0.93 0.95];Preprocessed data;beta1;F
5;Average fixed raters;0.937032;15.881063;601;1803;0.0;[0.93 0.94];Preprocessed data;beta2;F
6;Average fixed raters;0.951419;20.584162;601;1803;0.0;[0.94 0.96];Preprocessed data;beta3;F
7;Average fixed raters;0.920932;12.64728;601;1803;0.0;[0.91 0.93];Preprocessed data;gamma;F
8;Average fixed raters;0.882406;8.503861;644;1932;0.0;[0.87 0.9 ];Preprocessed data;delta;C
9;Average fixed raters;0.961325;25.856775;644;1932;0.0;[0.96 0.97];Preprocessed data;theta;C
10;Average fixed raters;0.923892;13.139239;644;1932;0.0;[0.91 0.93];Preprocessed data;alpha-1;C
11;Average fixed raters;0.925374;13.400242;644;1932;0.0;[0.92 0.93];Preprocessed data;alpha-2;C
12;Average fixed raters;0.941294;17.034057;644;1932;0.0;[0.93 0.95];Preprocessed data;beta1;C
13;Average fixed raters;0.95189;20.785714;644;1932;0.0;[0.95 0.96];Preprocessed data;beta2;C
14;Average fixed raters;0.953298;21.412485;644;1932;0.0;[0.95 0.96];Preprocessed data;beta3;C
15;Average fixed raters;0.897387;9.745365;644;1932;0.0;[0.88 0.91];Preprocessed data;gamma;C
16;Average fixed raters;0.837333;6.147521;816;2448;0.0;[0.82 0.85];Preprocessed data;delta;PO
17;Average fixed raters;0.954183;21.826154;816;2448;0.0;[0.95 0.96];Preprocessed data;theta;PO
18;Average fixed raters;0.918764;12.309796;816;2448;0.0;[0.91 0.93];Preprocessed data;alpha-1;PO
19;Average fixed raters;0.919703;12.453774;816;2448;0.0;[0.91 0.93];Preprocessed data;alpha-2;PO
20;Average fixed raters;0.947579;19.076422;816;2448;0.0;[0.94 0.95];Preprocessed data;beta1;PO
21;Average fixed raters;0.948549;19.435969;816;2448;0.0;[0.94 0.95];Preprocessed data;beta2;PO
22;Average fixed raters;0.956376;22.923424;816;2448;0.0;[0.95 0.96];Preprocessed data;beta3;PO
23;Average fixed raters;0.925254;13.378594;816;2448;0.0;[0.92 0.93];Preprocessed data;gamma;PO
24;Average fixed raters;0.844542;6.432585;429;1287;0.0;[0.82 0.87];Preprocessed data;delta;T
25;Average fixed raters;0.961599;26.040872;429;1287;0.0;[0.96 0.97];Preprocessed data;theta;T
26;Average fixed raters;0.925386;13.402263;429;1287;0.0;[0.91 0.94];Preprocessed data;alpha-1;T
27;Average fixed raters;0.924732;13.285781;429;1287;0.0;[0.91 0.94];Preprocessed data;alpha-2;T
28;Average fixed raters;0.91364;11.579434;429;1287;0.0;[0.9  0.93];Preprocessed data;beta1;T
29;Average fixed raters;0.915854;11.884175;429;1287;0.0;[0.9  0.93];Preprocessed data;beta2;T
30;Average fixed raters;0.933172;14.963763;429;1287;0.0;[0.92 0.94];Preprocessed data;beta3;T
31;Average fixed raters;0.893078;9.352603;429;1287;0.0;[0.88 0.91];Preprocessed data;gamma;T
